Description,Date,Amount,Area,Type
Entretenimiento,28/02/2026,"10,00€",Leisure,Expenses
Nómina mensual,27/02/2026,"629,58€",Salary,Income
Gasto vacaciones,25/02/2026,"51,00€","Leisure, Vacations",Expenses
Pequeño ocio,22/02/2026,"2,80€",Leisure,Expenses
Compra alimentación,21/02/2026,"24,80€",Food,Expenses
Compra alimentación,21/02/2026,"21,60€",Food,Expenses
Factura pequeña,21/02/2026,"6,50€",Invoice,Expenses
Pequeño ocio,09/02/2026,"3,90€",Leisure,Expenses
Pequeño ocio,08/02/2026,"8,00€",Leisure,Expenses
Pequeño ocio,08/02/2026,"4,50€",Leisure,Expenses
Pequeña inversión,07/02/2026,"20,00€",Investment,Expenses
Factura pequeña,07/02/2026,"10,00€",Invoice,Expenses
Compra alimentación,06/02/2026,"17,20€",Food,Expenses
Factura pequeña,06/02/2026,"10,00€",Invoice,Expenses
Inversión mensual,01/02/2026,"180,00€",Investment,Expenses
Compra alimentación,01/02/2026,"29,30€",Food,Expenses
Gasto alimentación,30/01/2026,"6,97€",Food,Expenses
Nómina mensual,29/01/2026,"629,58€",Salary,Income
Factura servicio,28/01/2026,"32,98€",Invoice,Expenses
Factura pequeña,20/01/2026,"11,66€",Invoice,Expenses
Factura servicio,20/01/2026,"25,00€",Invoice,Expenses
Ingreso depósito,19/01/2026,"200,00€",Deposit,Income
Pequeña inversión,18/01/2026,"20,00€",Investment,Expenses
Viaje o vacaciones,14/01/2026,"429,81€","Leisure, Vacations",Expenses
Pequeño ingreso,09/01/2026,"51,71€",Deposit,Income
Factura pequeña,08/01/2026,"10,00€",Invoice,Expenses
Pequeño ocio,06/01/2026,"7,15€",Leisure,Expenses
Pequeño ocio,05/01/2026,"7,05€",Leisure,Expenses
Inversión mensual,01/01/2026,"180,00€",Investment,Expenses
Pequeño ocio,30/12/2025,"9,70€",Leisure,Expenses
Entretenimiento,30/12/2025,"18,00€",Leisure,Expenses
Pequeño ocio,28/12/2025,"5,00€",Leisure,Expenses
Pequeño ocio,27/12/2025,"9,00€",Leisure,Expenses
Nómina mensual,24/12/2025,"629,58€",Salary,Income
Entretenimiento,23/12/2025,"12,50€",Leisure,Expenses
Entretenimiento,19/12/2025,"12,80€",Leisure,Expenses
Entretenimiento,18/12/2025,"10,50€",Leisure,Expenses
Gasto alimentación,17/12/2025,"7,00€",Food,Expenses
Compra supermercado,15/12/2025,"42,80€",Food,Expenses
Factura servicio,14/12/2025,"78,98€",Invoice,Expenses
Factura pequeña,12/12/2025,"15,00€",Invoice,Expenses
Factura servicio,10/12/2025,"24,63€",Invoice,Expenses
Factura pequeña,9/12/2025,"10,00€",Invoice,Expenses
Entretenimiento,9/12/2025,"20,40€",Leisure,Expenses
Pequeño ingreso,5/12/2025,"1,71€",Deposit,Income
Pequeño ocio,4/12/2025,"3,40€",Leisure,Expenses
Pequeña inversión,4/12/2025,"20,00€",Investment,Expenses
Inversión mensual,4/12/2025,"180,00€",Investment,Expenses
Pequeño ingreso,4/12/2025,"50,00€",Deposit,Income
"Gasto food, vacations",30/11/2025,"4,50€","Food, Vacations",Expenses
"Gasto invoice, vacations",30/11/2025,"46,79€","Invoice, Vacations",Expenses
Nómina mensual,29/11/2025,"629,58€",Salary,Income
Gasto vacaciones,28/11/2025,"3,60€","Leisure, Vacations",Expenses
Compra alimentación,28/11/2025,"18,20€",Food,Expenses
Factura servicio,28/11/2025,"20,00€",Invoice,Expenses
Entretenimiento,28/11/2025,"29,80€",Leisure,Expenses
Factura servicio,28/11/2025,"85,66€",Invoice,Expenses
Pequeño ocio,27/11/2025,"3,60€",Leisure,Expenses
Factura pequeña,27/11/2025,"14,25€",Invoice,Expenses
