Description,Date,Amount,Area,Type
Pequeño ocio,2025-08-29,3.94,Leisure,Expenses
Pequeño ingreso,2025-08-22,5.0,Deposit,Income
Viaje o vacaciones,2025-08-19,679.32,"Leisure, Vacations",Expenses
Pequeño ingreso,2025-08-18,100.0,Deposit,Income
Actividad ocio,2025-08-10,56.6,Leisure,Expenses
Nómina mensual,2025-08-01,1841.97,Salary,Income
Pequeña inversión,2025-08-01,20.0,Investment,Expenses
Factura pequeña,2025-08-01,18.23,Invoice,Expenses
Compra alimentación,2025-07-29,39.12,Food,Expenses
Pequeño ocio,2025-07-29,7.0,Leisure,Expenses
Gasto alimentación,2025-07-16,3.3,Food,Expenses
Compra alimentación,2025-07-15,19.5,Food,Expenses
Factura pequeña,2025-07-14,8.08,Invoice,Expenses
Pequeño ocio,2025-07-10,5.0,Leisure,Expenses
Nómina mensual,2025-07-03,613.99,Salary,Income
Entretenimiento,2025-07-02,19.0,Leisure,Expenses
Pequeña inversión,2025-07-01,40.0,Investment,Expenses
Viaje o vacaciones,2025-06-29,395.0,"Leisure, Vacations",Expenses
Factura servicio,2025-06-26,22.0,Invoice,Expenses
Gasto alimentación,2025-06-26,5.75,Food,Expenses
Actividad ocio,2025-06-21,59.77,Leisure,Expenses
Compra supermercado,2025-06-21,44.6,Food,Expenses
Factura servicio,2025-06-21,23.0,Invoice,Expenses
Factura pequeña,2025-06-21,7.5,Invoice,Expenses
Factura pequeña,2025-06-20,11.5,Invoice,Expenses
Microfactura,2025-06-20,2.0,Invoice,Expenses
Gasto alimentación,2025-06-14,13.25,Food,Expenses
Viaje o vacaciones,2025-06-13,395.0,"Leisure, Vacations",Expenses
Nómina mensual,2025-06-11,25.0,Salary,Income
Microfactura,2025-06-09,4.74,Invoice,Expenses
Nómina mensual,2025-06-08,75.0,Salary,Income
Pequeño ocio,2025-06-07,8.5,Leisure,Expenses
Pequeño ocio,2025-06-07,5.88,Leisure,Expenses
Gasto alimentación,2025-06-05,12.9,Food,Expenses
Factura pequeña,2025-06-05,8.0,Invoice,Expenses
Pequeña inversión,2025-06-01,20.0,Investment,Expenses
Factura pequeña,2025-06-01,7.2,Invoice,Expenses
Pequeño ocio,2025-05-31,3.1,Leisure,Expenses
Nómina mensual,2025-05-30,30.0,Salary,Income
Entretenimiento,2025-05-30,18.0,Leisure,Expenses
Gasto alimentación,2025-05-29,12.0,Food,Expenses
Factura pequeña,2025-05-28,9.5,Invoice,Expenses
Entretenimiento,2025-05-24,15.0,Leisure,Expenses
Nómina mensual,2025-05-18,25.0,Salary,Income
Gasto alimentación,2025-05-16,13.0,Food,Expenses
Microfactura,2025-05-13,1.09,Invoice,Expenses
Factura pequeña,2025-05-04,5.5,Invoice,Expenses
Compra alimentación,2025-05-02,21.95,Food,Expenses
